time_published,Adj Close,Al Jareeza,Associated Press,Barrons,Benzinga,Business Insider,Business Standard,CNBC,CNN,Canada Newswire,Cointelegraph,Decrypt.co,Financial News London,Financial Times,Forbes,Fox Business News,GlobeNewswire,Investing News Network,Investor Ideas,Investors Business Daily,Kiplinger,MarketWatch,Money Control,Money Morning,Motley Fool,New York Times,PR Newswire,PennyStocks.com,Reuters,South China Morning Post,StockMarket.com,Stocknews.com,The Atlantic,The Economist,The Financial Express,The Street,The Week News,UPI Business,Wall Street Journal,Zacks Commentary
2023-10-20,352.1845397949219,-1.0,-0.293749,-1.0,0.12808133333333335,0.1812114,-1.0,0.004729,0.020081599999999998,0.514442,-1.0,-0.048251,-1.0,-1.0,-1.0,-0.097897,0.243456,-1.0,-1.0,-0.010036499999999997,0.059012,-1.0,-1.0,-1.0,-0.007349,-1.0,0.2266396923076923,-1.0,0.009785,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.184467,-1.0,-1.0,-1.0,0.13707545454545456
2023-10-23,353.247314453125,-1.0,-1.0,-1.0,0.185088,0.0940732,-1.0,0.096876,0.0,0.344579,0.264999,0.305535,-1.0,-1.0,0.20788,-1.0,0.3497995,-1.0,-1.0,0.150105,-1.0,-1.0,-1.0,-1.0,0.118683,-1.0,0.273758,-1.0,0.037471,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14993519047619047
2023-10-24,356.68365478515625,-1.0,-0.1716323333333333,-1.0,0.242585,0.13195225000000002,-1.0,0.167035,-0.036886333333333333,-1.0,-1.0,-1.0,-1.0,-1.0,0.15717599999999998,0.03324133333333334,0.358651,-1.0,-1.0,-1.0,-1.0,0.251607,-1.0,-1.0,0.103269,-1.0,0.395754,-1.0,-0.036319,-1.0,-1.0,-1.0,-1.0,-1.0,0.129958,-1.0,-1.0,-1.0,-1.0,0.1692802272727273
2023-10-25,347.95355224609375,-1.0,0.02012933333333333,-1.0,0.241877,0.07472233333333332,-1.0,0.276452,0.03736966666666667,-1.0,0.226541,0.218206,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.2703123333333333,-1.0,0.15003975,-1.0,0.045659,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.13701916666666666
2023-10-26,341.3190612792969,-1.0,0.0753605,-1.0,0.1356,0.083104,-1.0,0.1022495,-0.0557955,0.2845086666666667,-1.0,-1.0,-1.0,-1.0,-0.088272,0.180583,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1373605,-1.0,0.18867425,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12965320833333333
2023-10-27,342.95782470703125,-1.0,0.03507233333333334,-1.0,0.22798538461538462,0.0624622,-1.0,0.084903,-0.11299433333333335,0.23487,-1.0,0.227144,-1.0,-1.0,0.122194,-1.0,0.260658,-1.0,-1.0,0.100088,-1.0,0.122494,-1.0,-1.0,0.306832,-1.0,0.225186,-1.0,-0.002417,-1.0,-1.0,-1.0,-1.0,-1.0,-0.104229,0.182483,-1.0,-1.0,-1.0,0.15378669230769232
2023-10-30,346.8213195800781,-1.0,0.029097,-1.0,0.081728125,0.1656965,-1.0,-1.0,-0.05257350000000001,0.4006065,-1.0,0.161586,-1.0,-1.0,0.0,0.04498,0.182803,0.253419,-1.0,-1.0,-1.0,0.104748,-1.0,-1.0,0.454317,-1.0,0.347705,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.056657,-1.0,-1.0,-1.0,-1.0,0.15297229166666668
2023-10-31,348.47991943359375,-1.0,0.022601250000000003,-1.0,0.17512166666666668,0.2419175,-1.0,0.183441,-1.0,-1.0,0.360099,0.069198,-1.0,0.079763,0.28643100000000005,0.335287,0.2098545,0.2660106666666667,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.16944716666666668,-1.0,0.3078785,-1.0,-1.0,-1.0,-1.0,-1.0,0.113048,-1.0,0.228877,-1.0,-1.0,-1.0,-1.0,0.21592733333333333
2023-11-01,354.5284729003906,-1.0,0.033396,-1.0,0.15991314285714284,-1.0,-1.0,0.03197,0.159686,0.161085,-1.0,-1.0,-1.0,-1.0,0.10843675,0.016853,0.236895,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.22310666666666665,-1.0,0.163384,-1.0,-0.019271,-1.0,-1.0,-1.0,0.118569,-1.0,0.084839,-1.0,-1.0,-1.0,-1.0,0.1733301052631579
2023-11-02,360.9643249511719,-1.0,-0.0895878,-1.0,0.20175774999999999,-1.0,-1.0,0.1611,-0.21725850000000002,0.153841,0.156662,0.300999,-1.0,-1.0,-1.0,0.077834,0.20440025,0.171735,-1.0,0.097243,-1.0,-1.0,-1.0,-1.0,0.15529700000000002,-1.0,0.21844866666666665,-1.0,-0.019491,-1.0,-1.0,-1.0,-1.0,-1.0,0.173516,-1.0,-1.0,-1.0,-1.0,0.16861488888888887
